timestamp,host,event_id,event_source,process_name,process_path,process_hash,pid,ppid,parent_process_name,image_loaded,registry_key,registry_value,target_object,signed,signature,label,technique_tag,raw_fields
2026-01-01 10:00:00+00:00,LABVM,1,Sysmon,inputcap.exe,C:\Users\User\AppData\Roaming\inputcap.exe,ab748add52254cf3ac32673eead5fcce,1200,1199.0,svchost.exe,,,,,False,,malicious,hook,{'CommandLine': 'C:\\Users\\User\\AppData\\Roaming\\inputcap.exe'}
2026-01-01 10:00:00.100000+00:00,LABVM,7,Sysmon,inputcap.exe,,,1200,,,C:\Windows\System32\kernelbase.dll,,,,True,,malicious,hook,{}
2026-01-01 10:00:00.150000+00:00,LABVM,7,Sysmon,inputcap.exe,,,1200,,,C:\Windows\System32\kernel32.dll,,,,True,,malicious,hook,{}
2026-01-01 10:00:00.200000+00:00,LABVM,7,Sysmon,inputcap.exe,,,1200,,,C:\Windows\System32\user32.dll,,,,True,,malicious,hook,{}
2026-01-01 10:00:00.300000+00:00,LABVM,13,Sysmon,inputcap.exe,,,1200,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,inputcap.exe=C:\Users\User\AppData\Roaming\inputcap.exe,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,malicious,hook,{}
2026-01-01 10:00:30+00:00,LABVM,13,Sysmon,inputcap.exe,,,1200,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,update_0,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,malicious,hook,{}
2026-01-01 10:01:00+00:00,LABVM,13,Sysmon,inputcap.exe,,,1200,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,update_1,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,malicious,hook,{}
2026-01-01 10:01:30+00:00,LABVM,13,Sysmon,inputcap.exe,,,1200,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,update_2,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,malicious,hook,{}
2026-01-01 10:02:00+00:00,LABVM,13,Sysmon,inputcap.exe,,,1200,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,update_3,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,malicious,hook,{}
2026-01-01 10:03:00+00:00,LABVM,1,Sysmon,svchost32.exe,C:\Users\User\Downloads\svchost32.exe,79c169a687b64113b0853f3fb8c043e0,1201,1200.0,powershell.exe,,,,,False,,malicious,hook,{'CommandLine': 'C:\\Users\\User\\Downloads\\svchost32.exe'}
2026-01-01 10:03:00.100000+00:00,LABVM,7,Sysmon,svchost32.exe,,,1201,,,C:\Windows\System32\kernel32.dll,,,,True,,malicious,hook,{}
2026-01-01 10:03:00.150000+00:00,LABVM,7,Sysmon,svchost32.exe,,,1201,,,C:\Windows\System32\kernelbase.dll,,,,True,,malicious,hook,{}
2026-01-01 10:03:11.214106+00:00,LABVM,7,Sysmon,svchost32.exe,,,1201,,,C:\Windows\System32\user32.dll,,,,True,,malicious,hook,{}
2026-01-01 10:03:11.314106+00:00,LABVM,13,Sysmon,svchost32.exe,,,1201,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,svchost32.exe=C:\Users\User\Downloads\svchost32.exe,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,malicious,hook,{}
2026-01-01 10:03:41.014106+00:00,LABVM,13,Sysmon,svchost32.exe,,,1201,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,update_0,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,malicious,hook,{}
2026-01-01 10:04:11.014106+00:00,LABVM,13,Sysmon,svchost32.exe,,,1201,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,update_1,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,malicious,hook,{}
2026-01-01 10:04:41.014106+00:00,LABVM,13,Sysmon,svchost32.exe,,,1201,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,update_2,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,malicious,hook,{}
2026-01-01 10:05:11.014106+00:00,LABVM,13,Sysmon,svchost32.exe,,,1201,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,update_3,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,malicious,hook,{}
2026-01-01 10:06:00+00:00,LABVM,1,Sysmon,updater.exe,C:\Windows\System32\updater.exe,57553e92b25b45f2b8a68cbef11c8820,1202,1201.0,cmd.exe,,,,,False,,malicious,hook,{'CommandLine': 'C:\\Windows\\System32\\updater.exe'}
2026-01-01 10:06:00.100000+00:00,LABVM,7,Sysmon,updater.exe,,,1202,,,C:\Windows\System32\ntdll.dll,,,,True,,malicious,hook,{}
2026-01-01 10:06:00.150000+00:00,LABVM,7,Sysmon,updater.exe,,,1202,,,C:\Windows\System32\kernelbase.dll,,,,True,,malicious,hook,{}
2026-01-01 10:07:17.313610+00:00,LABVM,7,Sysmon,updater.exe,,,1202,,,C:\Windows\System32\user32.dll,,,,True,,malicious,hook,{}
2026-01-01 10:07:17.413610+00:00,LABVM,13,Sysmon,updater.exe,,,1202,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,updater.exe=C:\Windows\System32\updater.exe,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,malicious,hook,{}
